Quelle;Priorität;Enthält Publikationstyp aus Quelle;Enthält Dokumenttyp aus Quelle;Ziel-Publikationstyp;Ziel-Dokumenttyp;Peer reviewed;
default;1;abstract;proceedings;Meeting Abstract;;aus Quelle;
default;2;abstract;journal;Meeting Abstract;;aus Quelle;
default;3;article;newspaper;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;4;article;journal;Journalartikel;Wissenschaftlicher Artikel;aus Quelle;
default;5;article;blog;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;6;article;special_issue;Journalartikel;Wissenschaftlicher Artikel;aus Quelle;
default;7;article;;Preprint;Wissenschaftlicher Artikel;aus Quelle;
default;8;blog;;Integrierende Ressource;;aus Quelle;
default;9;book;;Monographie;;aus Quelle;
default;10;chapter;proceedings;Konferenzpaper;;aus Quelle;
default;11;chapter;festschrift;Sammelbandbeitrag;Wissenschaftlicher Artikel;aus Quelle;
default;12;chapter;collection;Sammelbandbeitrag;Wissenschaftlicher Artikel;aus Quelle;
default;13;entry;lexicon;Sammelbandbeitrag;Wissenschaftlicher Artikel;aus Quelle;
default;14;collection;series;Sammelband;;aus Quelle;
default;15;collection;;Sammelband;;aus Quelle;
default;16;dissertation;;Monographie;;aus Quelle;
default;17;festschrift;;Sammelband;;aus Quelle;
default;18;habilitation;;Monographie;;aus Quelle;
default;19;interview;newspaper;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;20;interview;journal;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;21;interview;blog;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;22;interview;;Beiträge/Interviews in nicht-wissenschaftlichen Medien;;aus Quelle;
default;23;journal;;nicht importieren;;aus Quelle;
default;24;lexicon;;Sammelband;;aus Quelle;
default;25;newspaper;;nicht importieren;;aus Quelle;
default;26;oer;;Sonstiger Publikationstyp;;aus Quelle;
default;27;poster;proceedings;Konferenzposter;;aus Quelle;
default;28;poster;;Konferenzposter;;aus Quelle;
default;29;preface;proceedings;Konferenzpaper;Editorial;aus Quelle;
default;30;preface;lexicon;Sammelbandbeitrag;Editorial;aus Quelle;
default;31;preface;journal;Journalartikel;Editorial;aus Quelle;
default;32;preface;festschrift;Sammelbandbeitrag;Editorial;aus Quelle;
default;33;preface;collection;Sammelbandbeitrag;Editorial;aus Quelle;
default;34;proceedings;;Konferenzband;;aus Quelle;
default;35;research_data;;Forschungsdaten;;aus Quelle;
default;36;research_paper;;Arbeitspapier/Forschungsbericht;;aus Quelle;
default;37;report;series;Arbeitspapier/Forschungsbericht;;aus Quelle;
default;38;report;;Arbeitspapier/Forschungsbericht;;aus Quelle;
default;39;review;journal;Journalartikel;Rezension;aus Quelle;
default;40;review;collection;Sammelbandbeitrag;Rezension;aus Quelle;
default;41;review_article;journal;Journalartikel;Review;aus Quelle;
default;42;series;;Sonstiger Publikationstyp;;aus Quelle;
default;43;special_issue;;Sonderheft einer Zeitschrift;;aus Quelle;
default;44;speech;;Sonstiger Publikationstyp;;aus Quelle;
default;45;working_paper;;Arbeitspapier/Forschungsbericht;;aus Quelle;
